id;address;coordinate;description;title;category_id;url
126;Нижний Новгород, площадь Минина и Пожарского;POINT (44.006836 56.326786);Памятник русскому национальному герою, который, обладая огромной энергией и ораторским даром, организовал сбор средств у сограждан на борьбу за освобождение Родины и стал одним из руководителей Земского ополчения 1611-1612 годов в период борьбы русского народа против польской интервенции, гражданину Кузьме Минину установлен на площади Минина и Пожарского напротив Дмитровской башни Нижегородского кремля. Монумент был торжественно открыт 7 ноября 1943 года на переименованной в честь данного события площади Минина и Пожарского и стал первым памятником военных лет.;Памятник Козьме Минину;1;
29;Нижний Новгород, Александровский сад;POINT (44.010941 56.330232);<p>Александровский сад – это парк культуры и отдыха в историческом центре Нижнего Новгорода. Он расположен на склоне реки Волги между Верхне-Волжской и Нижне-Волжской набережными и является памятником архитектуры областного значения. Это удивительно красивый парк в английском стиле, главная концепция которого — стремление к природности и естественности композиции. Его площадь — около 35 гектаров. Сад был основан в 1835 году по поручению императора Николая 1 и назван в честь его супруги Александры Федоровны. До 19 века на его месте располагались жилые дома и церкви Панской слободы. По указу царя все здания снесли и началась масштабная стройка: укрепляли склон, выравнивали территорию, формировали дорожки аллей, высаживали деревья, по верхней линии набережной строили дома и дорогу. Стилистику нового парка разрабатывал придворный садовник Карл Петцольд.Императорский парк стал излюбленным местом отдыха горожан и первым общественным парком в истории Нижнего Новгорода. Здесь проходили концерты, выступали фокусники и акробаты, русские и цыганские песенники.За появление в городе этого необычного парка мы должны поблагодарить Николая I, который распорядился разбить его на Откосе, на том самом месте, где прежде горожане устроили свалку бытовых отходов. Именно там император, согласно преданию, прикрыв нос надушенным платком (так как от свалки исходило невыносимое зловоние), заметил, что в Нижнем Новгороде природа сделала все, чтобы город украсить, горожане — все, чтобы его испортить. Когда он отдал приказание разбить здесь парк, кто-то из свиты дерзнул возразить самодержцу. Неразумно устраивать парк на такой крутизне — мол, нижегородцы — люди равнинные, по горам гулять не приучены. На это император коротко и сухо ответил: «Пускай научатся».<br></p>;Александровский сад;2;
67;Нижний Новгород, парк Швейцария;POINT (43.979263 56.282221);<p>Парк «Швейцария» — один из крупнейших и старейших парков города. Он ведет свою историю с конца 19 — начала 20 века. Свое название получил из-за схожести с природными ландшафтами Швейцарии. Протяжённость парка 3,5 км, общая площадь — 380 га. Это одно из популярнейших мест отдыха нижегородцев и туристов. Гостей парка привлекает уникальная растительность и прекрасные видовые площадки. В «Швейцарии» можно увидеть сосну, орех маньчжурский, каштан, бархат амурский и многие другие деревья, возраст некоторых достигает 150 лет. Также в нем произрастают и краснокнижные растения, например: Лунник многолетний и Венерин Башмачок. К 800-летнему юбилею в парке «Швейцария» прошла масштабная реконструкция. Привели в порядок объекты культурного наследия — трехкилометровую ограду и входные группы, построенные в 1957 году. Кроме того, установили фонтаны, а также оборудовали современные комфортные площадки для отдыха детей и взрослых. В Советское время парк переименовали, сначала — в районный парк им. Кринова, потом — в парк им. Ленинского комсомола. Историческое название «Швейцария» вернулось лишь в 1993 году. Откосы парка Швейцария — точки притяжения нижегородцев и туристов. С высокого берега открывается удивительная панорама на Оку, ее изгибы и заречную часть Нижнего Новгорода. А вечерами с откоса приятно наблюдать за нижегородскими закатами.<br></p>;Парк Швейцария;2;
149;г. Нижний Новгород, станция метро «Двигатель Революции»;POINT (43.921408 56.277315);Автор мозаики — Владимир Логинов. Была создана в 1985 году. Входит в реестр произведений советского монументально-декоративного искусства Нижегородской области;Мозаика «Серп и Молот»;10;
72;Нижний Новгород, памятник природы регионального областного значения Щёлоковский хутор;POINT (44.01893 56.284829);Общественное пространство находится на территории Приокского и Советского районов, в зоне лесопарка «Щелоковский хутор», который был образован в 1965 году, а сейчас является парком природы регионального значения. Общая площадь особо охраняемой территории составляет 333,1 га (включая зону Марьиной рощи) – это единый массив естественного леса, сохранившийся на юго-востоке Нижнего Новгорода. Данное пространство является одним из самых больших в городе.;Щелоковский хутор;2;
81;Нижний Новгород, Городской ландшафтный парк культуры и отдыха имени А.С. Пушкина;POINT (43.99821 56.308973);"Парк Пушкина расположен в центре Нижнего Новгорода, недалеко от пешеходной улицы. Столетние березы, являющиеся частью культурного наследия, занимают почти половину территории — 5 га.
<br>История парка ведется с мая 1880 года и связана с открытием памятника Пушкину в Москве, когда предложили высаживать деревья в день рождения поэта. Инициативу переняли российские города, и уже через год в Нижнем Новгороде власти выделили участок под «Пушкинский сад». Будущий парк находился на окраине города, рядом с оврагами и местами для выгула скота. Первые зеленые насаждения и аллеи здесь появились почти через 30 лет. <br>";Парк Пушкина;2;
84;Нижний Новгород, сквер имени Свердлова;POINT (44.001921 56.321545);"Представляет собой небольшой озеленённый сквер на пересечении центральной нижегородской улицы Большой Покровской и улицы Октябрьской.
<br>Впервые сквер обозначается на картах Нижнего Новгорода в 1896 году, позже он именовался как Детский (или Марковский) садик.
<br>В ноябре 1957 к 40-летию Октябрьской революции в сквере открыли памятник Якову Михайловичу Свердлову.
<br>В 2020 году сквер был благоустроен по концепции Института развития городской̆ среды Нижегородской̆ области. В сквере появились места для отдыха, новые деревья, освещение, игровая зона, площадка для мероприятий и навес, под которым будет приятно ждать трамвай.
<br>В сквере Свердлова традиционно собирается клуб коллекционеров-старьёвщиков и по воскресеньям проводит блошиный рынок. <br>";Сквер Свердлова;2;
86;Нижний Новгород, озеро Мещерское;POINT (43.941571 56.337588);"Мещерское озеро в Нижнем Новгороде исполнило мечту многих горожан — получить пляж и водоем в шаговой доступности. Расположенное неподалеку от места впадения Оки в Волгу и окруженное новостройками, озеро заболачивалось и зарастало камышом, но в 2018 году в преддверии Чемпионата мира по футболу его решили привести в порядок. Теперь здесь есть благоустроенный пляж с лежаками, СПА-зонами и детскими площадками. Правда, качество воды оставляет желать лучшего, поэтому купаться здесь официально запрещено. Но это не мешает Мещерскому озеру особенно в жаркие дни оставаться одним из самых популярных мест отдыха для нижегородцев.
<br>Водоем сформировался на месте прежнего русла Волги. Еще в советское время он сообщался с рекой через протоку, но затем ее засыпали, чтобы построить на возвышении между озером и Волгой жилой квартал. Сегодня реку и водоем разделяет насыпь шириной около 700 метров.  <br>";Мещерское озеро;2;
172;г. Нижний Новгород, ул.Надежды Сусловой, д.15, корп.2;POINT (44.044003 56.301798);Автор мозаики неизвестен. Была создана в 1978 году. Входит в реестр произведений советского монументально-декоративного искусства Нижегородской области;Мозаика «Колобок»;10;
87;Нижний Новгород, озеро Бурнаковской низины;POINT (43.912291 56.344997);"Прилегающая к Волге территория в черте Нижнего Новгорода, на которой располагается мрн. Бурнаковский, посёлок Левинка, и несколько промышленных предприятий.
<br>Ранее территория Бурнаковской низины была застроена промышленными предприятиями топливно-энергетического комплекса такими как Сормовская ТЭЦ, Сормовская нефтебаза, завод 26 Бакинских комиссаров. Здесь был расположен накопитель отходов нефтепереработки (пруд кислых гудронов объемом около 10 тыс. т), а также городская станция снеготаяния. Несмотря на то, что нефтеперерабатывающие предприятия сейчас не работают, территория значительно загрязнена. Кроме того, в 30-90-е годы ХХ века в болотах Бурнаковской низины проводилось борьба с малярийными комарами путем закачки в них нефтепродуктов, что усугубило состояние почв.
<br>Тем не менее, на территории низины в районе пос. Левинка сохранились практически нетронутые участки лесов и озёра. <br>";Бурнаковское озеро;2;
88;Нижний Новгород, памятник природы регионального значения Ботанический сад ННГУ имени Н.И. Лобачевского;POINT (44.007963 56.253885);"Ботанический сад Нижегородского Государственного университета им. Лобачевского в Нижнем Новгороде — это один из самых интересных ботанических садов в России. Он имеет статус особо охраняемой природной территории: здесь растут более 100 видов растений из Красной Книги. Всего же здесь можно встретить больше 5000 видов различных растений на территории около 30 гектар. Сад занимает участок рядом с Анкундиновским лесопарком — любимым местом отдыха нижегородцев. Здесь сохранилась большая дубрава, часть которой стала основой дендрария Ботанического сада.
<br>Ботанический сад позиционируется прежде всего как научное учреждение. Всего в его ведении находятся 4 учебно-научных лаборатории и биостанция, а за время его существования было издано более 700 книг, брошюр и статей. ";Ботанический сад ННГУ;2;
89;Нижний Новгород, площадь Маркина;POINT (43.988372 56.329078);"Площадь Маркина или в простонародье площадь у Речного Вокзала — площадь на Нижне-Волжской набережной между Речным Вокзалом и улицей Рождественская.
<br>Площадь названа в честь командующего Волжской флотилией Николая Маркина, который в сентябре 1918 года возглавил операцию по высадке десанта и взятию Казани. 1 октября 1918 года при проведении разведки на Каме в районе Пьяного Бора на канонерской лодке «Ваня» Николай Маркин попал в артиллерийскую засаду, в результате чего героически погиб вместе с судном.
<br>Площадь была названа в честь Маркина в 80-е годы, до этого она носила название Сафроновская.
<br>На площади есть фонтан и памятник Героям Волжской флотилии <br>";Площадь Маркина;2;
70;Нижний Новгород, парк Дубки;POINT (43.919475 56.268282);Расположен в границах проспекта Ленина, улицы Новикова-Прибоя и Адмирала Нахимова. Парк находится на месте исторического произрастания дубов возрастом более 100 лет. В 2018 году началось комплексное благоустройство парка, в результате которого он полностью преобразился. Было заново смонтировано новое освещение, построены пешеходные дорожки, лыжня и дорожка для скандинавской ходьбы, установлена новая детская площадка с интересным оборудованием и благоустроена зелёная поляна для йоги. На территории появилась спортивная площадка, где можно поиграть в футбол, волейбол, баскетбол и даже в настольный теннис, а также площадка воркаута с различными тренажёрами. Для заводчиков собак в парке есть специальная площадка для выгула и тренировок.                       ;Парк Дубки;2;
71;Нижний Новгород, Центральный парк культуры и отдыха Автозаводского района;POINT (43.854551 56.239625);Основан в 1935 году, имеет площадь 69,9 га, в том числе 2 искусственных пруда. Автозаводский парк — объект культурного наследия и настоящий памятник ландшафтной архитектуры. Основной достопримечательностью парка являются деревянные Главные ворота с башенками-павильонами — яркий представитель крайне редких на сегодня сооружений, сохранивших первоначальный исторический облик. В парке расположена аллея фонтанов, в которую входят 14 маленьких фонтанов, большой центральный фонтан и круглый фонтан у зенитной установки. В 2019 году аллея фонтанов была реконструирована с сохранением исторического облика.;Автозаводский парк;2;
80;Нижний Новгород, улица Октябрьской Революции, 31к7;POINT (43.933981 56.311214);"Парк им. 1 Мая — один из старейших в городе. Он был заложен в 1894 году и расположен на территории Всероссийской торгово-промышленной и художественной выставки 1896 г. Нынешний Парк им. 1 Мая занимает 15,25 % территории выставки. В настоящее время инфраструктура парка удовлетворяет потребности всех категорий населения, каждый найдет в парке занятия по своему интересу. В парке имеется 5 бесплатных детских площадок для самых маленьких посетителей. Зоны отдыха парка поделены на «тихую зону», расположенную около водоема и прогулочную аллею вдоль стадиона «Локомотив», а также активную зону — центральная аллея.
<br>	На центральной аллее сосредоточено большинство культурно-развлекательных объектов парка. Дельфинарий, дом «Вверх дном», лабиринт страха, зеркальный лабиринт, зоны аттракционов, центральная площадь, танцевальная площадка. Зоны аттракционов, в свою очередь, поделены на детскую и семейную. На территории парка действует семейный центр активного отдыха «Мадагаскар». <br>";Парк 1 мая;2;
82;Нижний Новгород, улица Максима Горького, 143;POINT (44.007347 56.314984);"Парк Кулибина основан в 1940 году, находится в центре Нижнего Новгорода. Парк носит имя русского механика-изобретателя Ивана Кулибина, чья могила сохранилась на территории парка, где ранее находился городской погост.
<br>На сегодняшний день аттракционы советского времени демонтированы. Петропавловская церковь вернула свое религиозное предназначение. Часть прежних построек отремонтирована, часть снесена. В парке до сих пор продолжают расти могучие деревья — тополя и клены, березовые и липовые аллеи. Петропавловское кладбище имеет большое культурное значение, однако в парке нет памятных табличек, рассказывающих о прошлом этого места.
<br>На территории парка можно увидеть несколько объектов современного искусства";Парк Кулибина;2;
85;Нижний Новгород, Петушковская гора;POINT (43.983433 56.32509);"Парк 800-летия Нижнего Новгорода появился в рамках инфраструктурной программы «Среда 800» при участии фонда поддержки социальных инициатив «Газпрома». Открытие парка состоялось 11 декабря 2021 года. Основу нового парка составляет набережная Федоровского - уже известное туристическое место в Нижнем Новгороде.
<br>На набережной благоустроили два амфитеатра - большой и малый, расположившись на которых можно любоваться видами. Пространство осветили более 1000 светильников, памятники и мосты украсила современная подсветка, появилась инсталляция из 300 светильников с функцией динамического освещения с разными программами. Также были установлены панорамные стеклянные кабинки, а еще детские аттракционы и спортивная площадка. На территории появился общественный туалет, доступный для маломобильных горожан. С набережной открывается великолепный вид на Стрелку - место впадения Оки в Волгу, новый стадион Нижний Новгород и собор Александра Невского.<br>";Парк 800-летия;2;
225;Нижний Новгород, парк Швейцария;POINT (43.973357 56.27449);Начало истории парк берет в 1903 году, когда учителями Нижегородских гимназий со своими воспитанниками было высажено в районе остановки Мыза первые деревья. Это были сосны, причем, около каждого дерева была табличка участника, посадившего это дерево. Созданный зеленый массив за неповторимую красоту был назван жителями города «Русская Швейцария». Сейчас «Швейцария» занимает рекордную площадь — 52 га и протянулась на 4 км над лесистыми откосами берега Оки. В составе древесных пород парка представители местной флоры: дуб, липа, береза, клен, много лиственницы, есть сосна, тополь. Присутствуют и высокодекоративные экзоты: дуб красный, клен Гиннала, орех маньчжурский, бархат амурский, каштан конский, черемуха Мака, вишня Пеньсельванская, различные виды спирей и боярышников.;Парк «Швейцария»;2;
140;Нижний Новгород, площадь Максима Горького;POINT (43.990653 56.313612);Тактильный макет достопримечательности для лиц с ограниченными возможностями здоровья. Для достоверной передачи деталей и соблюдения масштабов при создании макетов использовалась технология лазерного сканирования памятников архитектуры. На объектах есть историческая справка, QR-код и текст Брайля, который помогает узнавать о достопримечательностях Нижнего Новгорода людям с нарушениями зрения.;Макет памятника Горькому;3;https://nn-grad.ru/audiogidy/
143;Нижний Новгород, ул. Почаинская, 27;POINT (43.995317 56.325432);Тактильный макет достопримечательности для лиц с ограниченными возможностями здоровья. Для достоверной передачи деталей и соблюдения масштабов при создании макетов использовалась технология лазерного сканирования памятников архитектуры. На объектах есть историческая справка, QR-код и текст Брайля, который помогает узнавать о достопримечательностях Нижнего Новгорода людям с нарушениями зрения.;Макет домика Петра;3;https://nn-grad.ru/audiogidy/
12;Нижний Новгород, историческая территория Старый Нижний Новгород;POINT (44.04801 56.326051);"<p>
            
        </p><p>Набережная вдоль Гребного канала, протяженностью около трех километров. Набережную Гребного канала благоустроили к 800-летию Нижнего Новгорода. Обновленное место, а особенно Судейская вышка, стало популярным среди нижегородцев и гостей города. Сам Гребной Канал — искусственный водоем вдоль побережья Волги. Он появился на карте Нижнего Новгорода в 1976 году, после того как искусственная дамба соединила правый берег Волги и остров Печерские пески. В итоге получился узкий, шириной до 150 метров, и неглубокий, глубиной около 5 метров, водоем. Он стал прекрасным местом для занятия греблей, и так получил свое нынешнее название. Длина дамбы — около 1200 метров, по ней проложена дорога, заканчивающаяся тупиком. Вдоль канала расположился обустроенный пляж. Летом 2021 года в Нижнем Новгороде проходил фестиваль скульптур «Вдохновение». Девять художников из России и Белоруссии выпиливали композиции из известняка прямо на улице, посмотреть на процесс могли все желающие. В 2022 году для размещения скульптур выбрали площадку между парком Победы и пустующим эллингом на Гребном канале и создали на этой территории Парк скульптур. Сам же эллинг переделали под физкультурный комплекс «Горадром».<br></p>";Набережная Гребного канала;4;
